photo,type,label
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a9b9c4454b2060b3b5c6dd658ca1e63c330ba234.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4368f74f9e6efa80e79871f31c174222ef2f6a6f.jpg,"ป้าย,ถนน,จราจร","Label, road, traffic"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/35e5f26fddae78b461f776192b9ce6f1ad4c430b.jpg,สัตว์จรจัด,Rat
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/30e706e66792ea78214cc648e4f56d269ed00ff0.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ff7e7c186556b4bc678544c64564bb01f8864b65.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/941c217898e2b280caf3975ff6b80cb7e98f7bc9.jpg,คลอง,canal
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/219f7ae18432dacd858abcb6b6648852c54c7d61.jpg,"ความสะอาด,คลอง","Cleanliness, canal"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/40d94ea5294674e6d5516b06cd443ab5d090e479.jpg,"ทางเท้า,ความสะอาด","Sidewalk, cleanliness"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b8260cdf969f5758b17f5e97a36c69a619f78f3b.jpg,กีดขวาง,Obstruct
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6c5aa2afedc5dd6801128fceb0fc7e9121e323d9.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f9322d152e97dd1584b0d31b1a8e66324313d3a4.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/697d7acb9010df1f95ebb3b4dba679c4f0455030.jpg,"คลอง,ถนน","Canal, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/0ab78f71d231af2b418faff4765d8c07dc25da5f.jpg,แสงสว่าง,light
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/7e8e44b646ca71d167d8bf2cedcbe7ad6bc51fc9.jpg,กีดขวาง,Obstruct
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6a6fc9bc3dab2c5587e0fbf5d4554921c3f4d775.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e40b9b3646a7f1f1ed1a4f4b396ebe1a459affec.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/892949f4a24a385c626ff22e3e0ec8ca0bae84a3.jpg,"แสงสว่าง,ความปลอดภัย","Light, safety"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/edd089ff0314acc06d422c22d88596eb0765ce2e.jpg,"ความปลอดภัย,ถนน,กีดขวาง","Safety, road, obstacles"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/bbba7f73d72ff76177d9a19d28c5b276951a644b.jpg,สัตว์จรจัด,Rat
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/8baa296dccf4be54a101d2a75bc05d60d134832e.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/538e2897d1154c0b91bca9b771d8a1765cf5fb45.jpg,"แสงสว่าง,ความปลอดภัย","Light, safety"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c4452372cff3dab64376b8bcf4af421948a13582.jpg,"ความปลอดภัย,คนจรจัด","Safety, organizers"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/94d73fe0d3ec18e32f4c54a01f52b2fd432aecab.jpg,"ความปลอดภัย,ถนน","Safety, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4bf87e8bc0a4f0d3dd6226144311bd1a70765be8.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/03fef8c484b05b1713f7d52ca29dce5b5e805dae.jpg,"ความปลอดภัย,ถนน","Safety, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ee898b13a034161a5734d656977fa37a6aa12911.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/3ea19956dff742882716c196bd41b67a912a6707.jpg,น้ำท่วม,flood
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/3284cbdbe887adf8001b2691a81bb8ad02a64fae.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6d31965d6f374e897a1dceac53a9d288f70039fd.jpg,"ทางเท้า,สะพาน,ถนน","Sidewalk, bridge, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/7d46644f5bbdb36a3755cb69e6bbfee6a4d00892.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/32074eedea858224f3c6b8d999299a9f2f1dfb6e.jpg,"ความปลอดภัย,สะพาน,ถนน","Safety, bridge, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6465e19386837ace2e502568557ca437cbc489ff.jpg,"ความสะอาด,ทางเท้า","Cleanliness, sidewalk"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b916793085528694ca6c3231fc264aaff7552c06.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c05dd7db1a99c1abc639842be8381da764f2e91c.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e717a35f218aaa948947b0cf00f9d27867ee323e.jpg,ความปลอดภัย,safety
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/28fea6c4ef91e5eaeac19ad3c0cd262c79fb5b04.jpg,กีดขวาง,Obstruct
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a8befe6e6f67debc0e753413613722cc91b795a4.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9bc07fd2593fcd3f73bf53d4f54f518d27699d7d.jpg,"คนจรจัด,สะพาน","Stray people, bridge"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/dee2d9337443dbe9e00f75d3772814cf41aded3f.jpg,"ถนน,น้ำท่วม","Road, flood"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/cb04a71093e780b9bb020f228a20dca35d9873df.jpg,"น้ำท่วม,ถนน","Flood, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/401cf100609a3621b86d5256b733078dc7793e23.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/34efabb01495954f4ce01fcbe66f530556ac7a48.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/8575f991ed83de4cb1753c7c7574449a68043bb2.jpg,"ความสะอาด,ถนน","Cleanliness, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/dcd3eb447cd9e8fc9bc0d3d74841a13b60fdb31f.jpg,"ความปลอดภัย,ความสะอาด","Safety, cleanliness"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/792a97e1dd9b5c46f7548bf82ba144a592ebfda0.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e84bd1fc3f773b913761e49b04c6d1cd8e05abe7.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/746c0baf9473a4d40fc72b362cbba19ca5b222f0.jpg,"แสงสว่าง,ถนน","Light, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/38be4f81b7227447ac18156d50b7a4715db689de.jpg,"เสียงรบกวน,ท่อระบายน้ำ","Noise, drain"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/95057aba3c28f28524199b62b821325f3aa97719.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/465ff48cfdeeb8ba3faaf5969af3037573305fcd.jpg,"สะพาน,ถนน","Bridge, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c5b80a7ddbfd0fbef2a8a23644def0a4e1a9f8da.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/2d5ac8b0b582b0955fd8971a33e2ea4fb23f36f7.jpg,"แสงสว่าง,ถนน","Light, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9ea4813d37e1488227e29001365b68024b245e57.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/80341299c07f56acc258aaf3d3bead2826f9fd38.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/69fda80483589836e2d677626378f0f953bd3712.jpg,"กีดขวาง,จราจร","Obstacles, traffic"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/377e6ab4a2c16c6324843627c7d73bcb746044c7.jpg,ความปลอดภัย,safety
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4e2200a9d43331b914ef57a3b57c423a8f1456af.jpg,"ถนน,สะพาน","Road, Bridge"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9efbd94723eda3930b4ad4d172acc793006a0e3a.jpg,คลอง,canal
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/1d9dc5a2aa1e7e3e289af51cb9ccfbc6f82f6587.jpg,"ต้นไม้,สายไฟ","Trees, wires"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/0ed0d5050699f82aac71aee3c097512e3712b383.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b2261d5d7636f6834bf30e1d3b8c4e55cb8d15c1.jpg,"จราจร,ถนน","Traffic, Road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/be136f739040bf7278711c5e319e937e4bbc0f5b.jpg,"ความปลอดภัย,สะพาน,ถนน","Safety, bridge, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/aad3af7977039d379b331a1097e33239fe295350.jpg,สะพาน,bridge
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4301dc16f573178a5ae2be4ba7ef5ade2c4bbdfe.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/0dc5d449a75d28d02161fcbe21b89a13d548548d.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ccd18cbfbd0a6d584cd3b052262a7303346bb301.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f981cc26669ebb3aa0817e1e93879f17b0fce577.jpg,"ความปลอดภัย,ถนน","Safety, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/eb2bfbe37a188e892b8d5e3b46f4f51b3d0da5c6.jpg,"ความปลอดภัย,ถนน","Safety, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/648ec8385fa654fa4d16171a0aea8466c700fbef.jpg,ร้องเรียน,appeal
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c0ae259104060a815b50527956bfa868f191527b.jpg,"ป้าย,ความสะอาด,คลอง,ทางเท้า","Label, cleanliness, canal, sidewalk"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/dfba871f78173a7734cb439dea0f51235d156dd2.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c1f9dd918d05dd7fc7a0e3c4f8aace478026b912.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/eb890a40998f2e4fe0b6173d97eef6baa57b7734.jpg,ความปลอดภัย,safety
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/86b01ee6d911fbb8b193c7b6cd331dc09a77debb.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/80ecf773d98462cd53dfa752c4955bccc21f5552.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f6cb449f98733b645c80a96eb268a9226a8d9b29.jpg,"ความปลอดภัย,ท่อระบายน้ำ,ถนน","Safety, drain, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4060150576bdf88561fa8389bee87801f91fb3d8.jpg,"ความปลอดภัย,ถนน","Safety, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/db99986214e62e25bb10340c686946fb1bdf7752.jpg,สะพาน,bridge
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/70f4b4e675c64e720c0648528e150c895ca18af7.jpg,"ถนน,กีดขวาง,จราจร","Road, obstacles, traffic"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/0aa47eb47049f7f3296637b95c253288c8fddd56.jpg,คลอง,canal
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4523076b471ce6c6916f1104057965f9d7f1777a.jpg,สัตว์จรจัด,Rat
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b4293516ac3e16619546e337ddb83e13b35f1439.jpg,จราจร,traffic
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e8f18f5bf59b46cf28f687c4bc1851f9f9ceb305.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/78951003aae6465923c1587ff81e396e454ef322.jpg,"สายไฟ,ทางเท้า","Wires, sidewalks"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9d3e6f2e422322b9b2f0cf44258efa5d5711c5d8.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/173aced8ccc796d295c8ca297a03a202f4301d3a.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ae9e0fe42e354feb3ac6b00a7e8e75a942bc3c37.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9843f18d3af3f9a77c38f610d4f83dc1f3551674.jpg,"สอบถาม,ร้องเรียน,ต้นไม้","Inquire, complaint, tree"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f5bf51a7e4ba30fd27457c8ba2099941552a1e1e.jpg,"ป้าย,ถนน","Label, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/23363097f89c818b58fb074718841d009bec6260.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6ff1458f6fbad7fb1496c42286c636b50accc165.jpg,"กีดขวาง,จราจร","Obstacles, traffic"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/d25af0d79fb982f034d1f422416806e3ab50349f.jpg,"สายไฟ,ความสะอาด","Wires, cleanliness"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/54b1ce9fde464b7271255035ad78b55bbb54fa32.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/36d7834a5620220df4360df5966ea0c4b80da488.jpg,กีดขวาง,Obstruct
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/84603312c3e00958db1e8f2e7b3f61ea89ec5a90.jpg,"ถนน,คลอง,จราจร","Road, canal, traffic"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/aa821053133a01bd7865afb8f9d6d2cb55a23e2e.jpg,ต้นไม้,tree
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/301334489bf62ccc96ce33c896bec0d61eb34e17.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/f06d0080f18d68df9aeb01e2cd8c4ea2594db87d.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c57d6e8b4acff5648419f8cd4068f39031f4b1e5.jpg,"ความปลอดภัย,ต้นไม้,สายไฟ","Safety, tree, wires"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/51256e5469ed6db489319cf3a7ed772bb1075f6f.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/3dd2af99272403998d9125d2d4b6dac431642b72.jpg,"สอบถาม,ความสะอาด,ร้องเรียน","Inquire, cleanliness, complaint"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/34f40acee0e57632ea717cac4837fff17e9731bb.jpg,"ทางเท้า,ถนน",Sidewalk
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/eb20131c4b856584b1fba3c9ef74bc963f59e0f9.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/089c73cdfcf2ec37c270f98143978da2c80d01fe.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/d3f59f66f17c3177baec88b989d3277d698aafbb.jpg,จราจร,traffic
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/33e63fc2c12c4e7548349b80f43c56910802e54e.jpg,"จราจร,ความปลอดภัย,กีดขวาง,ถนน","Traffic, safety, obstruction, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4e2872bfc1eaf56f5d9cb7ffc55a3f84b2ea3f63.jpg,"ทางเท้า,ต้นไม้","Sidewalk, tree"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/7136fa435c0e23ef4abf8f0f727b631cf065b80f.jpg,"ความปลอดภัย,ถนน","Safety, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/7c6941346cf80119f243e51ed103f3d2ff8112ca.jpg,คลอง,canal
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6d9e54ac21d7e26e6c785e9ca9885c980cd20f5c.jpg,"กีดขวาง,น้ำท่วม,ท่อระบายน้ำ","Obstruct, flood, drain"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/119938d86af03aad71bcd38af0e9ff8985307efc.jpg,"ต้นไม้,ถนน,สะพาน","Tree, road, bridge"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/7a3234cb8cfbe3ad3907efa60bef3842e5aaa963.jpg,กีดขวาง,Obstruct
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/09546313d0e2144d75a5e82807f19677d71752a9.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/c0540160194ddcdf10fb133a1a0dc7fef585c36c.jpg,กีดขวาง,Obstruct
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/1c7ee578ab8ccd7faf2136578c9848e5f0960b18.jpg,"ถนน,ทางเท้า","Road, sidewalk"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/638ec043f13ff8e2e5b1eaa8d814dec757d449ff.jpg,สัตว์จรจัด,Rat
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/0213e12a4a3615feac9819f4c029d25825967841.jpg,"ป้าย,ความปลอดภัย","Label, safety"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/117d22e821efaf211dec7516a90f9c66868c6372.jpg,"สะพาน,ถนน","Bridge, road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/2122c0559060619a933fb7c40303c22af5999a95.jpg,"ถนน,สะพาน","Road, Bridge"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/9e9d7e42dd7a34a93cda22cc5c0295b235ee0856.jpg,"ทางเท้า,ความปลอดภัย","Sidewalk, safety"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/1273325b2c596b82ea36a6fa1884b2b291739484.jpg,"จราจร,ถนน","Traffic, Road"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4897c79f46c26379593776de7746c476c6a52eef.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a67885972b2f13864b0a979dbb41b1a880da656e.jpg,"ทางเท้า,ถนน",Sidewalk
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/103cb014c8a00833f14fabd861b0949fae4aa87c.jpg,จราจร,traffic
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/5d93189e5f0259ab9a10042ac67fa1c985368d1f.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/6d8875e57d31b978f0c7092bb33bd81f9de3ec5a.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/20033cbb18423cb2e4319d9a2549b80c040ff9af.jpg,"ถนน,ทางเท้า,ความสะอาด","Road, sidewalk, cleanliness"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/180c12804dd2647042fe9ee2bf346b2b88538651.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4cb73691d6da229186287788f10ffb27306c6cfd.jpg,สอบถาม,query
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/8c16bbfbe794e0ff8bda571b9aafdf46e10526e6.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/82b1a04726765c9c1d87f2678bb9e005752ebf0c.jpg,"สายไฟ,ป้ายจราจร","Wires, traffic signs"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e784ba934fde0fa878d1e610e71dba8cff1e8f1b.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/2daddcc7f356509ead050d41b116ca76371d0843.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/1ac6a09bf8742671b637962d2df45e643dfdc25e.jpg,สายไฟ,wire
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/cdd13b9e4ad8a974ad8811f7b460341f3b6cd7cb.jpg,สัตว์จรจัด,Rat
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4b41b7e4642d9f170fd05c1587e9bf58e0b6ca16.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/dd9225077bc46acaf6be85ab42553b735acb171c.jpg,"การเดินทาง,ร้องเรียน","Travel, complaint"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e45db10b72772ca11a2a97b773a946c5cc117b8d.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a800503a5e2866dd5cf63540c3fc3420ade0f63f.jpg,ความสะอาด,Cleanliness
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/1cf0163fd30af475861f81714c34ce36305d7149.jpg,ถนน,road
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/95c35ba9add8ab8b4e52d94e41bfb7aff1f6f025.jpg,ท่อระบายน้ำ,Drain
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ccd8088d16c717ef55512b26542e538d97e84a98.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/19f3294bd1faca154ce1b120bbde8d3a0bdd6921.jpg,ทางเท้า,pavement
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/416d7b722dc7e6612226d4dbe07edc43d4fa4597.jpg,"แสงสว่าง,ความปลอดภัย","Light, safety"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/4e2c9a7c061536fe1272131fa6a6b7e478da17e8.jpg,สะพาน,bridge
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/b104fbd5c8b88711c230b94d861ed642f86feea7.jpg,"ทางเท้า,ความสะอาด","Sidewalk, cleanliness"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/7cc95613fb579b872dc90768540da80795f18ebd.jpg,แสงสว่าง,light
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/ad5c432e71e9d783e0a7eff026cc411a4fff74b6.jpg,"แสงสว่าง,ความปลอดภัย","Light, safety"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/efa4e6d7e3ed15b9ef7cf7c06dfee292ffd96d2c.jpg,เสียงรบกวน,Noise
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/e762ac028021126a11e83d68e0ec9255e0f68398.jpg,"ความสะอาด,สอบถาม","Cleanliness, inquire"
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/927bdbfeeb55e2c29443d40012f8be4cbe01fc8c.jpg,เสียงรบกวน,Noise
https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/a41c7c9aeaa1455aa1a48b792b1cd525ae4c32b8.jpg,"ความสะอาด,น้ำท่วม","Cleanliness, flooding"
